,Items,Models,Prices
260,Close Out!,L 105.105/100 Proofer for iDeck 105.105 (SPECIAL ORDER). 230/60/1,"4,739.00"
261,Close Out!,RMC150 - Meat Grinder and Cheese Grater 1.5 hp 110V,"2,800.00"
262,Discontinued,"ID-D 105.105 iDeck Electronic Control Electric Pizza Oven 41""W x 41""D (Internal) Chamber. 2 Deck","21,690.00"
263,Discontinued,PINA10 Spiral Mixer countertop variable speed 7 qt.,0
264,Discontinued,AMA050V Spiral Mixer 50 Lbs. Flour Cap. Variable speed. 220/60/1,0
265,Discontinued,100002R - Dough box lid red color,0
266,Discontinued,100002G - Dough box lid green color,0
267,Discontinued,"MPS350 Bread & Roll Moulder, 13-3/4” rollers, breads up to (500g) 17.5 oz",0
268,Discontinued,"MFP80  Bread Crumb Mill, 176 lbs crumbs/hour","1,528.00"
269,Discontinued,AMA020M-1 Spiral Mixer 20 Lbs Flour Cap. 1 Speed. 110/60/1,0
270,Discontinued,IS4/8 Pizza Cutter,0
271,Discontinued,ABT-10 Blast Freezer 10 trays capacity,"16,846.00"
272,Discontinued,C33FS/N  Meat Slicer 13'' Gear Driven - ELT,0
273,Discontinued,AMA050M Spiral Mixer 50 Lbs. Flour Cap. 2 Speeds. 220/60/1,0
274,Discontinued,AMA030M Spiral Mixer 30 Lbs Flour Cap. 2 Speed. 220/60/1,0
275,Discontinued,PM 105.65 iDeck Manual Control Electric Pizza Oven 105 x 65 cm chamber. 1 Deck,0
276,Discontinued,"PM 105.105 iDeck Manual Control Electric Pizza Oven 41""W x 41""D chamber. 1 Deck",0
277,Discontinued,C2013PM2IS4E Espresso Machine Semi automatic. 2 Groups - Compact -  220V,0
278,Discontinued,C2013DE2IS4E Espresso Machine 2 Gr - Compact Automatic 220V,0
279,Discontinued,BB020AT0IL2 Professional Coffee Grinder with Doser Auto - 7.5 Kg/hr (16.5 lbs/hr),0
280,Discontinued,BB005NR0IL2 Semi professional Coffee Grinder without doser 110V (8.8 lbs/hr),910
281,PARTS,RMOR009  Bulb W40 V230 G9 for Moretti Forni,22
282,PARTS,RBRA017  Pump Blue Impeller 12-20 AL 60 Hz. 33900-01204,24.8
283,PARTS,Service 1 hour  Service in site 1 hour ,120
284,PARTS,RBRA001  Bras Faucet Piston Gasket,8
285,PARTS,RRES011  Board Inverter Control for up to 2.2 kW motors 2 SPEEDS - AMA050M/AMA030M,562
286,PARTS,RMET001  Nylon Gear / Engranaje de Nylon,143
287,PARTS,RBRA010  Bras Bowl Gasket. for beverage dispenser 22800-17200,30
288,PARTS,"RRES024 GLASS FUSE 250V / 10 AMP (5X20 MM) SLOW FOR AMA030, AMA050",12
289,PARTS,Travel max 25 mi.  Travel max 25 mi. (More then 25mi $1 per mile),60
290,PARTS,RMOR005  Flame detector for P110G (74110210),120
291,PARTS,"RCRO005  Thermostat for SASL, SSGL, SSGE, MPE, FRE2,FRE4,FRE6",74
292,PARTS,RBRA035  BOWL GASKET FOR Q1156 FOR GELATO SOFT YOGURT MACHINE,30
293,PARTS,RMOR004  Lighter for P110G. #74100260,450
294,PARTS,"RMOR003  Bulb Glass Cover for P110G, P120E, Amalfi, ideck ",12
295,PARTS,RMOR029  Tempered Glass with gasket for P120E,110
296,PARTS,RCRO059  Complete Blade Assembly for AMPTO Blenders TI15 and TI25,232
297,PARTS,RBEZ097  CONICAL GASKET H9.3 NBR 90SH PEROS.,6
298,PARTS,RBRA014  Bras Dispensing Lever for Gravity Faucet. 22900-00560,16
299,PARTS,RRES018  Spiral Hook COMPLETE replacement for AMA050,588
300,PARTS,RMET020  TERMOSTATO IND. C/PERILLA  50-350º  16AMP,62
301,PARTS,RBRA015  Bras 20 L Bowl. 22900-04800,196
302,PARTS,RSPM008  Replacement Bowl (12L) for GRA-122,110
303,PARTS,"RMOR068  Door Spring for Amalfi B,C,D , P110G A/B, and P120E (with 30cm height chamber only). 72500660",88
304,PARTS,RBRA013  Bras Spray Tube for 20L Bowl,16
305,PARTS,RMOR276 - SD CARD FOR SERIE T MOTHER BOARD,240
306,PARTS,"RMOR033  Door spring for AMALFI ""A"" and P120E (18 cm height chamber only)",80
307,PARTS,RBRA008  Bras Pump Motor 110/60 (22800-04706),88
308,PARTS,RMOR5248 - Flame sensor (replace RMOR005),70
309,PARTS,RRES027 CHAIN  FOR AMA050M (64 LINKS)  S.1/2 P.64 VERSION 2021,58
310,PARTS,RTEK009  Tekna Condenser Fan Motor 110/60,112
311,PARTS,RSPM016  Complete Faucet Assembly (Blue Handle) for GRA-122,32
312,PARTS,RRES008  SPIRAL CHAIN 1/2S AMA050,46
313,PARTS,RMOR061  Flame Control S4575B-1033 (74670660),970
314,PARTS,"RMOR026  Contactor for Amalfi A,B,C, P120E. 20 AMPS. UL",112
315,PARTS,RMOR013  Top refractory brick flat tile for P110G. 740x367x20 (76001820).,534
316,PARTS,RMET003  Sinfin de Alum para barra vertical,16
317,PARTS,RBEZ038  Relay 30A 220V,126
318,PARTS,RBRA027  FAUCET PISTON FOR Q1156,38
319,PARTS,RBRA025  FAUCET HANDLE ICE CREAM MACHINE,16
320,PARTS,RMET302 - skewer motor with adapter included,230
321,PARTS,RXIN074 Gasket for SCL2-HC,52
322,PARTS,RBOC-002  Bocina del Tornillo P/Licuadora,6
323,PARTS,"RMOR040  Black switch for P120E, P110G",14
324,PARTS,RMET024  TEMPERED GLASS FOR 30 CHICKEN ROTISSERIE / VIDRIO TEMP. ASADOR 30 POLLOS 1027 X 430 X 5mm,68
325,PARTS,RCRO043  Infrared Burner for Gas Chicken Rotisserie,62
326,PARTS,RBEZ001  Heating Element for C2013 2GR 2600/3050W 220/240V. 5722252,130
327,PARTS,RBRA012  Bras 12/20L Bowl Cover,60
328,PARTS,RBRA006  Bras White Drip Tray. 22800-00660,26
